DEPTH,CARB_FLAG,COAL_FLAG,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,SAND_FLAG,depth_m,OBG,OBG_inc,NCL,Mud,PP-3,PP-2.5,PP-2
1374.8004,,,145.013397,125.109001,0.57719999,1.12820005,1.74779999,13.6138,1.9088,0.93589997,,1374.8004,0.37860345917555654,3615.0218363566682,148.67842414079047,1952.5465200959998,1823.283132343539,1845.504737478381,1867.4507445398756
1374.9528,,,143.277603,122.3581,0.55830001,1.10989999,1.72889995,13.8898,1.91939997,0.96219998,,1374.9528,0.3745093863048064,3615.3963457429727,148.67196960855395,1952.7629646719997,1757.8106466556899,1791.8220370224824,1825.2106972103927
1375.1052,,,141.818695,120.515098,0.42410001,1.12849998,1.70000004,13.8547,1.8772,0.94819998,,1375.1052,0.3682491700566862,3615.7645949130297,148.66551512666015,1952.9794092479997,1700.334033491043,1744.9616933215902,1788.549572299694
1375.2576,,,143.728302,123.183403,0.44789999,1.14670002,1.64810001,13.9605998,2.06450009,0.94319999,,1375.2576,0.35700673327802757,3616.1216016463077,148.65906069510908,1953.1958538239996,1776.1118433116724,1806.8840985929696,1837.1417198127858
1375.41,,,144.7444,127.859802,0.61299997,1.20739996,1.60259997,13.9961996,1.90760004,0.94410002,,1375.41,0.3471506441172615,3616.468752290425,148.65260631390072,1953.4122984,1815.0309785304169,1838.869388216107,1862.3923444431096
1375.5624,,,147.463897,133.389099,0.64170002,1.19350004,1.58420002,13.8888998,2.25259995,1.01699995,,1375.5624,0.3431648993189351,3616.811917189744,148.6461519830351,1953.628742976,1913.3047083411939,1920.092641980428,1926.8535278661504
1375.7148,,,143.243194,136.772598,0.5345,1.19280004,1.58029997,13.7454996,2.26360011,1.02540004,,1375.7148,0.3423200815884134,3617.154237271332,148.6396977025122,1953.845187552,1758.6848921919677,1792.7335279714987,1826.158365676815
1375.8672,,,140.469802,136.057403,0.39770001,1.21070003,1.57749998,13.6138,1.95749998,1.04040002,,1375.8672,0.341713555724057,3617.4959508270563,148.63324347233203,1954.0616321279995,1646.8681212725367,1701.7491045958477,1755.1016804312699
1376.0196,,,142.587402,140.816406,0.55279999,1.1581,1.58089995,13.4806995,1.78180003,1.02939999,,1376.0196,0.34245004754832636,3617.8384008746048,148.62678929249458,1954.278076704,1733.8146479402699,1772.489867995552,1810.3711635347581
1376.172,,,144.328094,137.625396,0.50069999,1.13960003,1.5848,13.4139003,1.72000002,1.02079999,,1376.172,0.34329486527884806,3618.1816957398833,148.62033516299988,1954.4945212799998,1801.6049573883486,1828.0290337711585,1854.068743340311
1376.3244,,,146.024597,136.497497,0.58329999,1.13030004,1.59189999,13.3169002,1.56579995,1.02880001,,1376.3244,0.3448328449043725,3618.5265285847877,148.61388108384787,1954.7109658559998,1864.6247792589518,1879.9709398475402,1895.18282572838
1376.4768,,,146.000106,132.3712,0.58999997,1.13750004,1.59039998,13.3161001,1.40769994,1.0338,,1376.4768,0.344507917007561,3618.8710365017955,148.6074270550386,1954.9274104319998,1864.180070428875,1879.6412357859324,1894.9661676757748
1376.6292,,,145.037902,133.279006,0.6272,1.11720001,1.58369994,13.3486003,1.37339997,1.02750003,,1376.6292,0.34305657341268286,3619.214093075208,148.60097307657207,1955.1438550080002,1829.4652668628391,1851.0522506484558,1872.378863893729
1376.7816,,,144.382202,136.304901,0.54000002,1.12,1.58080005,13.3810997,1.40719997,1.02760004,,1376.7816,0.34242840749466563,3619.556521482703,148.59451914844826,1955.3602995839997,1805.4118336623094,1831.3101335802078,1856.838715501995
1376.934,,,148.083404,131.518402,0.5054,1.14320003,1.56700003,13.9237003,1.33210003,1.00820004,,1376.934,0.33943908644043463,3619.895960569143,148.5880652706672,1955.5767441599996,1938.5029247063371,1941.3606766263947,1944.2135714155718
1377.0864,,,145.414901,132.261199,0.60399997,1.13689994,1.55610001,14.2139997,1.1631,1.00049996,,1377.0864,0.33707795513210753,3620.2330385242753,148.58161144322884,1955.7931887359996,1844.6680952544145,1863.691252395996,1882.5105980639364
1377.2388,,,144.283905,128.520004,0.60399997,1.13460004,1.54379999,14.5576,1.32070004,1.01590001,,1377.2388,0.33441355980851656,3620.567452084084,148.57515766613318,1956.009633312,1803.0281074078466,1829.4681488931915,1855.5235627798027
1377.3912,,,144.328094,126.319297,0.58710002,1.11919999,1.53480005,14.9485998,1.2184,0.98760002,,1377.3912,0.3324640184217057,3620.8999161025054,148.56870393938027,1956.226077888,1805.1395616352243,1831.2408689239203,1856.9669734825295
1377.5436,,,146.000106,126.1268,0.5356,1.11109995,1.53499996,15.5862998,1.21389997,0.94559997,,1377.5436,0.3325073223569139,3621.2324234248626,148.5622502629701,1956.442522464,1867.2496388647237,1882.4402469131794,1897.499294620842
1377.696,,,145.057601,123.651,0.60549998,1.11849999,1.5331,16.1625995,1.60469996,0.90799999,,1377.696,0.33209575842945604,3621.564519183292,148.55579663690267,1956.6589670399999,1833.2786809761533,1854.4594148752374,1875.3892808879248
1377.8484,,,145.047805,125.9617,0.49849998,1.10679996,1.54540002,16.6252002,1.42139995,0.91949999,,1377.8484,0.33476015375304713,3621.899279337045,148.54934306117792,1956.8754116159998,1833.3570987978349,1854.5621574699167,1875.5158077501928
1378.0008,,,144.690399,122.578201,0.50260001,1.10199999,1.55649995,17.1452999,2.10389995,0.9149,,1378.0008,0.33716458899658236,3622.2364439260414,148.54288953579592,1957.0918561919998,1820.5118337890149,1844.0293685630072,1867.2399338707814
1378.1532,,,145.351104,126.429397,0.42309999,1.13240003,1.56729996,17.6646003,2.36949992,0.92839998,,1378.1532,0.33950405642336184,3622.575947982465,148.53643606075667,1957.3083007679998,1845.4097736738433,1864.5685181254828,1883.520721683947
1378.3056,,,141.818695,121.477798,0.53909999,1.14900004,1.57109999,18.0384998,1.99730002,0.93830001,,1378.3056,0.3403272081061645,3622.916275190571,148.5299826360601,1957.5247453439997,1709.7254559485477,1753.4485776587192,1796.1724726567113
1378.458,,,143.772506,120.267501,0.54140001,1.17060005,1.56459999,17.7740993,2.24370002,0.96189999,,1378.458,0.33891919660672454,3623.2551943871777,148.5235292617063,1957.7411899200001,1787.112021240765,1816.7183087666422,1845.8472194333046
1378.6104,,,146.465499,116.333702,0.61229997,1.14049994,1.57079994,17.5839996,1.76240003,1.03429996,,1378.6104,0.3402622121291788,3623.595456599307,148.5170759376952,1957.9576344959996,1886.9796985182609,1899.0159928090468,1910.9688648577048
1378.7628,,,148.514404,120.542503,0.53320002,1.16359996,1.5762,17.6418991,2.3045001,1.00870001,,1378.7628,0.3414319577565121,3623.9368885570634,148.51062266402684,1958.1740790719996,1958.301312154278,1958.2801073154617,1958.2589022066913
1378.9152,,,147.552307,125.411598,0.55299997,1.13540005,1.59080004,17.3624992,1.7953,1.07070004,,1378.9152,0.34459457686609424,3624.2814831339297,148.50416944070122,1958.3905236479995,1925.942022466331,1931.3936684700325,1936.8278147660264
1379.0676,,,146.754104,127.859802,0.60839998,1.12320005,1.59720003,16.5680007,1.45239996,1.07070004,,1379.0676,0.34598092448398665,3624.6274640584134,148.4977162677183,1958.606968224,1898.5157553454962,1908.6794013575427,1918.7832020538217
1379.22,,,145.101806,124.366203,0.54860001,1.09360003,1.59440004,16.2567005,1.319,1.02030003,,1379.22,0.3453743986196302,3624.972838457033,148.4912631450781,1958.8234128,1839.3151876429408,1859.8125148400984,1880.0745559385819
1379.3724,,,146.808105,119.689796,0.4968,1.11080002,1.59940004,16.0139999,1.2644,1.00129997,,1379.3724,0.3464574843884302,3625.3192959414214,148.48481007278065,1959.0398573759999,1901.2932598943746,1911.0548310299107,1920.7611313812226
1379.5248,,,147.175292,116.938903,0.50410002,1.10179996,1.59430003,15.4940004,1.15970003,0.9652,,1379.5248,0.3453527347380827,3625.6646486761597,148.47835705082593,1959.2563019519998,1914.6009647385265,1922.1257676409127,1929.6174784618927
1379.6772,,,146.852294,124.008598,0.50340002,1.0884,1.6071,15.3929004,1.62960004,1.39390003,,1379.6772,0.348125427807696,3626.0127741039673,148.4719040792139,1959.4727465279998,1903.7223836182125,1913.1419698976372,1922.5100383806634
1379.8296,,,148.925796,127.859802,0.55150002,1.14240002,1.61119997,15.2438001,1.66709995,1.02919995,,1379.8296,0.34901355163959746,3626.361787655607,148.46545115794464,1959.6891911039997,1975.09703113145,1972.5389852301994,1969.9769765490207
1379.982,,,148.807907,136.029907,0.5126,1.07299995,1.60609996,15.3024997,1.30229997,0.8524,,1379.982,0.3479088019892499,3626.7096964575962,148.4589982870181,1959.9056356799997,1971.6025935675789,1969.6588165166552,1967.7127566713327
1380.1344,,,144.274093,136.497497,0.4959,1.10570001,1.59370005,15.4076004,1.69480001,0.9627,,1380.1344,0.34522276877816976,3627.0549192263743,148.45254546643426,1960.1220802559997,1811.05430836895,1836.7939545862005,1862.1687719683566
1380.2868,,,143.916793,134.379302,0.52759999,1.02040004,1.60029995,15.5790996,1.40910005,1.00230002,,1380.2868,0.3466524203312703,3627.4015716467056,148.44609269619315,1960.338524832,1797.9373560772653,1826.0633257586735,1853.7568900594313
1380.4392,,,144.626602,132.646301,0.51590001,1.08720004,1.62759995,15.9504003,1.29419994,0.90579998,,1380.4392,0.35256606862891837,3627.7541377153348,148.43963997629479,1960.554969408,1825.1821645452587,1848.484534536717,1871.485668042032
1380.5916,,,142.939895,126.952003,0.5938,1.1157,1.63039994,16.4258995,1.53030002,0.88239997,,1380.5916,0.3531725944932748,3628.107310309828,148.43318730673914,1960.7714139839998,1761.058106044551,1795.9321694177759,1830.1548304105056
1380.744,,,143.385604,125.219001,0.5514,1.11479997,1.6272,16.9859008,2.08049988,0.89420002,,1380.744,0.3524794325982721,3628.459789742426,148.42673468752622,1960.9878585599997,1778.857809500973,1810.5388583277795,1841.677255889347
1380.8964,,,146.108093,121.835403,0.5471,1.1114,1.6279,17.4719009,2.00620007,0.90820002,,1380.8964,0.35263106460590404,3628.812420807032,148.42028211865602,1961.204303136,1880.7741298364379,1894.44362405166,1908.0062241141256
1381.0488,,,149.312606,122.853302,0.53219997,1.08659994,1.64769995,17.9794998,1.68120002,1.02279996,,1381.0488,0.35692007341949433,3629.1693408804517,148.41382960012857,1961.4207477119999,1991.356501323042,1986.404787427667,1981.4381026699875
