Days	Qgas_mmscf	Whp_psig	
488	0.978063	4579.549	
489	0.883065	4753.508	
490	1.106826	4604.348	
491	1.073604	4588.223	
492	1.0795335	4583.842	
493	1.076733	4584.415	
494	1.0878585	4584.352	
495	1.088595	4584.216	
496	0.977565	4615.512	
497	1.1304285	4597.64	
498	1.096554	4588.717	
499	1.083117	4583.977	
500	1.083717	4580.345	
501	1.0795185	4579.313	
502	1.092972	4577.906	
503	0.9786405	4634.78	
504	1.094355	4609.507	
505	1.088721	4594.102	
506	1.079139	4587.408	
507	1.0787445	4579.65	
508	1.0781655	4576.1	
509	1.069209	4572.393	
510	1.0812135	4566.94	
511	1.084893	4563.648	
512	1.083	4560.8	
513	1.037712	4558.19	
514	1.072503	4553.789	
515	1.065765	4548.55	
516	1.0693335	4545.25	
517	1.067151	4542.408	
518	1.0662315	4539.351	
519	1.067265	4536.43	
520	1.067028	4533.361	
521	1.0670355	4528.551	
522	1.0818945	4525.435	
523	1.079547	4521.079	
524	1.080267	4516.198	
525	1.078401	4513.424	
526	1.078182	4509.643	
527	1.078683	4520.413	
528	1.0809765	4542.411	
529	1.0771605	4508.833	
530	1.07685	4497.786	
531	1.0823865	4485.321	
532	1.071042	4479.311	
533	1.0666965	4472.954	
534	1.068312	4468.215	
535	1.0664685	4464.834	
536	1.066614	4460.818	
537	1.0637505	4455.645	
538	1.061034	4448.509	
539	1.0378815	4442.542	
540	1.0821525	4439.661	
541	1.0559355	4433.52	
542	1.029627	4425.078	
543	0.996411	4508.819	
544	1.0599495	4456.372	
545	1.06518	4444.292	
546	1.0574835	4437.536	
547	1.0550955	4432.903	
548	1.0504725	4426.124	
549	1.051731	4419.973	
550	1.0510755	4413.668	
551	1.0496715	4408.573	
552	1.0464705	4402.653	
553	1.04526	4396.868	
554	1.0436775	4391.809	
555	1.043571	4385.572	
556	1.0371375	4379.278	
557	1.037799	4374.273	
558	1.0376025	4368.424	
559	1.0362315	4363.711	
560	1.0350435	4362.732	
561	1.039221	4366.453	
562	1.0402905	4368.067	
563	1.035078	4356.275	
564	1.0287585	4344.684	
565	1.0254945	4333.129	
566	1.021227	4325.069	
567	1.0187835	4317.71	
568	1.017093	4310.473	
569	1.0137255	4305.139	
570	1.0128	4300.912	
571	1.028583	4295.693	
572	1.003626	4290.814	
573	1.0118415	4286.072	
574	1.011657	4281.096	
575	1.026462	4277.035	
576	1.0057545	4273.804	
577	1.0105425	4269.254	
578	1.004232	4263.732	
579	0.9840285	4257.455	
580	1.006434	4252.059	
581	1.012545	4247.812	
582	1.0008195	4242.181	
583	0.997698	4237.629	
584	0.998721	4232.011	
